filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
AMZ_1_tk2_RA2_01_48879.mzXML,AMZ_01,Cheese pastry,Wheat flour,cheese,,,,,
AMZ_10_tk2_RA11_01_48975.mzXML,AMZ_10,White rice,"rice, salt, soya oil",,,,,,
AMZ_11_RB2_01_48905.mzXML,AMZ_11,Lentils cooked with bacon,"Lentels coked with baccon, sweet peper, oregano, soya oil, onoto (Bixa orellana) ",,,,,,
AMZ_12_RB3_01_48908.mzXML,AMZ_12,Fried egg,Fried egg with soya oil,,,,,,
AMZ_13_RB4_01_49040.mzXML,AMZ_13,Cow liver with onion,onion,,,,,,
AMZ_14_RB5_01_49038.mzXML,AMZ_14,Fried arepa,precooked corn flour,,,,,,
AMZ_15_RB6_01_48916.mzXML,AMZ_15,Traditional cake,Traditional cake,,,,,,
AMZ_16_RB7_01_49037.mzXML,AMZ_16,Baked arepas filled with canned jam (diablito)  and mayonesse ,Baked arepas filled with canned jam (diablito)  and mayonesse ,,,,,,
AMZ_17_tk2_RB8_01_48980.mzXML,AMZ_17,Boiled plantain,Boiled plantain,,,,,,
AMZ_18_RB9_01_48924.mzXML,AMZ_18,Rice with chicken,"rice, chiken, onion, sweet peper, oregano, chivas",,,,,,
AMZ_19_RB10_01_48927.mzXML,AMZ_19,Boiled yucca,Boiled yucca (Manihot esculenta),,,,,,
AMZ_2_RA3_01_48881.mzXML,AMZ_02,"Spagetties, black beans, cooked mortadella",Spagetties,"black beans, cooked mortadella, salt, soya oil with onoto, peper, oregano, sweet peper, onion",,,,,
AMZ_20_RB11_01_48930.mzXML,AMZ_20,Yucca cake,"Margarine, milk, eggs, sugar, cheese",,,,,,
AMZ_21_RC2_01_48934.mzXML,AMZ_21,Rice,Rice,,,,,,
AMZ_22_RC3_01_48937.mzXML,AMZ_22,Chicken,Chicken,,,,,,
AMZ_23_RC4_01_48940.mzXML,AMZ_23,Green fried plaintain,Green fried plaintain,,,,,,
AMZ_24_RC5_01_48943.mzXML,AMZ_24,Plantain,Ripe banana fried in soya oil,,,,,,
AMZ_25_RC6_01_48945.mzXML,AMZ_25,Stewed meat,"stewed cow meat, salt, fresh tomatos, onion, sweet paper, chives, oregano, soya oil with onoto",,,,,,
AMZ_26_RC7_01_48947.mzXML,AMZ_26,Rice,"rice, salt and soya oil",,,,,,
AMZ_27_RC8_01_48949.mzXML,AMZ_27,Fried catfish with soya oil (no skin),salt and cooking oil with onoto,,,,,,
AMZ_28_RC9_01_48951.mzXML,AMZ_28,bean dish,"brown beans, worcestershire sauce, salt, fresh tomatos, onion, sweet paper green and red, peper, leek, carrot, chive, oregano",,,,,,
AMZ_29_RC10_01_48954.mzXML,AMZ_29,Baked arepa,Precoked corn wheat,,,,,,
AMZ_3_RA4_01_48882.mzXML,AMZ_03,Bread filled with fried egg,"White breat made on bakery, fried egg with soya oil, salt",,,,,,
AMZ_30_RC11_01_48956.mzXML,AMZ_30,Fried egg,"egg, oil, salt",,,,,,
AMZ_31_tk2_RD2_01_48960.mzXML,AMZ_31,Rice with catara,"sweet peper, fresh tomatos, onion, soya oil with onoto, catara with ants, salt",,,,,,
AMZ_32_RD3_01_48961.mzXML,AMZ_32,Fried egg,"egg, oil, salt",,,,,,
AMZ_33_RD4_01_48963.mzXML,AMZ_33,Rice,"rice, sweet peper, fresh tomatos, onion",,,,,,
AMZ_34_RD5_01_48964.mzXML,AMZ_34,Fried chiken with catara,chiken with peper fried with soya oil,,,,,,
AMZ_35_RD6_01_49036.mzXML,AMZ_35,Cashew (Anacardium occidentale),only pulp (red),,,,,,
AMZ_36_RD7_01_48967.mzXML,AMZ_36,Pasta with cheese,"pasta, white salty cheese",,,,,,
AMZ_37_RD8_01_48977.mzXML,AMZ_37,Cocura pulp (no skin),fruit cocura,,,,,,
AMZ_38_RD9_01_48978.mzXML,AMZ_38,Red pijiguao,"Fruit red pijiguao, only pulp",,,,,,
AMZ_39_RD10_01_48981.mzXML,AMZ_39,Boiled fish,"Catfish, salt, natural garlic",,,,,,
AMZ_4_tk2_RA5_01_48887.mzXML,AMZ_04,Tuna with manoco,Can of tuna in oil with yellow manoco,,,,,,
AMZ_40_RD11_01_48984.mzXML,AMZ_40,Manoco,Manoco,,,,,,
AMZ_41_RE2_01_48968.mzXML,AMZ_41,Pasta with cheese,"pasta, cheese",,,,,,
AMZ_42_RE3_01_48985.mzXML,AMZ_42,Chicken,"stewed chiken, worcestershire sauce, salt, natural tomatos, onion, sweet paper green and red, peper, leek, carrot, chive, or?gano, soya oil with onoto, liquid concentrated of garlic",,,,,,
AMZ_43_RE4_01_48972.mzXML,AMZ_43,Rice,"carrot, salt, oil with onoto",,,,,,
AMZ_44_RE5_01_48986.mzXML,AMZ_44,Red meat,"sweet peper, fresh tomatos, chivas",,,,,,
AMZ_45_RE6_01_48973.mzXML,AMZ_45,Rice,"carrot, salt, oil with onoto",,,,,,
AMZ_46_RE7_01_48979.mzXML,AMZ_46,Plantain,Plantain,,,,,,
AMZ_47_RE8_01_48969.mzXML,AMZ_47,Teque±os with cheese,fried wheat flour  with white cheese,,,,,,
AMZ_48_RE9_01_49035.mzXML,AMZ_48,Meat empanada,fried corn flour with red meat,,,,,,
AMZ_49_RE10_01_48988.mzXML,AMZ_49,Sweted meat empanada,fried corn flour with red stewed meat,,,,,,
AMZ_5_RA6_01_48889.mzXML,AMZ_05,Toasted bread with butter,Bakery white bread,,,,,,
AMZ_50_RE11_01_48989.mzXML,AMZ_50,Chicken empanada,fried corn flour with chiken,,,,,,
AMZ_6_RA7_01_48891.mzXML,AMZ_06,Stewed chicken,"chivas, onion, sweet peper, oil with onoto, salt, comino",,,,,,
AMZ_7_RA8_01_48895.mzXML,AMZ_07,Plantain with butter and sugar,Plantain with butter and sugar,,,,,,
AMZ_8_RA9_01_48899.mzXML,AMZ_08,White rice,"rice, salt, oil",,,,,,
AMZ_9_RA10_01_49007.mzXML,AMZ_09,Toasted bread with butter and turkey ham,"Bakery white bread with margarine, turkey jam",,,,,,
Amazon_1_2x_RA1_01_21596.mzXML,amazon_1,Yellow_cassava,,,,,,,
Amazon_10_2x_RA10_01_21606.mzXML,amazon_10,Tupiro,,,,,,,
Amazon_11_2x_RA11_01_21607.mzXML,amazon_11,Ma±oco,,,,,,,
Amazon_2_2x_RA2_01_21597.mzXML,amazon_2,Pavon_fish_soup,,,,,,,
Amazon_3_2x_RA3_01_21598.mzXML,amazon_3,Small_red_hot_chili_pepper,,,,,,,
Amazon_4_2x_RA4_01_21599.mzXML,amazon_4,Copohazu_pulp,,,,,,,
Amazon_5_2x_RA5_01_21600.mzXML,amazon_5,Cooked_guada,,,,,,,
Amazon_6_2x_RA6_01_21602.mzXML,amazon_6,Moriche,,,,,,,
Amazon_7_2x_RA7_01_21603.mzXML,amazon_7,Aji_tornillito,,,,,,,
Amazon_8_2x_RA8_01_21604.mzXML,amazon_8,Tamari,,,,,,,
Amazon_9_2x_RA9_01_21605.mzXML,amazon_9,Tarantule,,,,,,,
RA10_RA10_01_49062.mzXML,F9_honey.chestnut,honey.chestnut,,,,,,,
RA11_RA11_01_49064.mzXML,F10_winter.onions,winter.onions,,,,,,,
RA12_RA12_01_49065.mzXML,F11_pear.A,pear.A,,,,,,,
RA2_RA2_01_49050.mzXML,F1_green.pepper,green.pepper,,,,,,,
RA3_RA3_01_49051.mzXML,F2_olive.oil,olive.oil,,,,,,,
RA4_RA4_01_49052.mzXML,F3_parsley,parsley,,,,,,,
RA5_RA5_01_49053.mzXML,F4_walnut.peach,walnut.peach,,,,,,,
RA6_RA6_01_49058.mzXML,F5_lemon,lemon,,,,,,,
RA7_RA7_01_49059.mzXML,F6_rosemary,rosemary,,,,,,,
RA8_RA8_01_49060.mzXML,F7_eggplant,eggplant,,,,,,,
RA9_RA9_01_49061.mzXML,F8_pumpkin.blossoms.courgette.flowers,pumpkin.blossoms.courgette.flowers,,,,,,,
RB10_tk2_RB10_01_49124.mzXML,F20_potatoes,potatoes,,,,,,,
RB11_tk2_RB11_01_49125.mzXML,F21_pork.salami,pork.salami,,,,,,,
RB12_tk2_RB12_01_49126.mzXML,F22_walnuts,walnuts,,,,,,,
RB2_RB2_01_49067.mzXML,F12_pear.B,pear.B,,,,,,,
RB3_RB3_01_49068.mzXML,F13_sage.salvia,sage.salvia,,,,,,,
RB4_RB4_01_49069.mzXML,F14_blackberries,blackberries,,,,,,,
RB5_RB5_01_49070.mzXML,F15_white.onions,white.onions,,,,,,,
RB6_RB6_01_49071.mzXML,F16_white.prune,white.prune,,,,,,,
RB7_RB7_01_49072.mzXML,F17_goat.milk,goat.milk,,,,,,,
RB8_RB8_01_49073.mzXML,F18_anchovies,anchovies,,,,,,,
RB9_tk2_RB9_01_49122.mzXML,F19_black.bread,black.bread,,,,,,,
RC11_RC11_01_49089.mzXML,F32_asparagus,asparagus,,,,,,,
RC12_tk2_RC12_01_49119.mzXML,F33_black.wine,black.wine,,,,,,,
RC2_RC2_01_49079.mzXML,F23_white.bread,white.bread,,,,,,,
RC3_RC3_01_49080.mzXML,F24_celery,celery,,,,,,,
RC4_RC4_01_49081.mzXML,F25_egg,egg,,,,,,,
RC5_RC5_01_49082.mzXML,F26_oregano,oregano,,,,,,,
RC6_tk2_RC6_01_49120.mzXML,F27_tomatoes.A,tomatoes.A,,,,,,,
RC7_RC7_01_49084.mzXML,F28_chili.pepper,chili.pepper,,,,,,,
RC8_RC8_01_49086.mzXML,F29_goat.cheese,goat.cheese,,,,,,,
RC9_RC9_01_49087.mzXML,F30_bean.seeds,bean.seeds,,,,,,,
RD2_RD2_01_49094.mzXML,F34_beans,beans,,,,,,,
RD3_RD3_01_49095.mzXML,F35_basil,basil,,,,,,,
RD4_RD4_01_49096.mzXML,F36_tomatoes.B,tomatoes.B,,,,,,,
RD5_RD5_01_49097.mzXML,F37_wine.white,wine.white,,,,,,,
RD6_RD6_01_49098.mzXML,F38_garlic,garlic,,,,,,,
RD7_RD7_01_49099.mzXML,F39_cucumbers,cucumbers,,,,,,,
RD8_RD8_01_49054.mzXML,CIAO_food_mix,CIAO_food_mix,,,,,,,
G95924_GC1_01_49144.mzXML,G95924,rosemary,,,,,,,
G95925_GC2_01_49145.mzXML,G95925,rosemary,,,,,,,
G95926_GC3_01_49146.mzXML,G95926,rosemary,,,,,,,
G95927_GC4_01_49147.mzXML,G95927,rosemary,,,,,,,
RD10_RD10_01_49102.mzXML,G95929,"older oregano leaf, part",,,,,,,
RD11_RD11_01_49103.mzXML,G95930,"young baby leaf, whole",,,,,,,
RD12_RD12_01_49104.mzXML,G95931,amarinth with husk,,,,,,,
RD9_RD9_01_49101.mzXML,G95928,red capsicum,,,,,,,
RE2_RE2_01_49106.mzXML,G95932,carrot,,,,,,,
RE3_RE3_01_49107.mzXML,G95933,"spicy pepper, small, red",,,,,,,
RE4_RE4_01_49108.mzXML,G95934,"cherry tomato, with peel",,,,,,,
RE5_RE5_01_49109.mzXML,G95935,"blueberry, small, whole, ripe",,,,,,,
RE6_RE6_01_49110.mzXML,G95936,carrot greens,,,,,,,
RE7_RE7_01_49111.mzXML,G95937,"eggplant, japanese, with peel",,,,,,,
RE8_RE8_01_49112.mzXML,garden_mix_alroker,garden_mix_alroker,,,,,,,
G90285_1x_BA9_01_31155.mzXML,G90285,Salada Matcha tea Brewed For 1min,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G90286_1x_RH6_01_31136.mzXML,G90286,Prince of Peace Oolong tea Brewed For 30sec,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G90287_1x_RC12_01_31079.mzXML,G90287,Prince of Peace Oolong tea Brewed For 1min,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G90288_1x_BC2_01_31173.mzXML,G90288,Salada Matcha tea Brewed For 30sec,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G90289_1x_BA3_01_31149.mzXML,G90289,Salada Matcha tea Brewed For 30sec,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G90290_1x_BA2_01_31148.mzXML,G90290,Salada Matcha tea Brewed For 1min,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G90292_1x_BH4_01_31224.mzXML,G90292,Salada Matcha tea Brewed For 4hours,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G90366_1x_RB4_01_31059.mzXML,G90366,Prince of Peace Oolong tea Brewed For 4min,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G90367_1x_BE6_01_31199.mzXML,G90367,Prince of Peace Oolong tea Brewed For 4hours,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G90368_1x_RE11_01_31104.mzXML,G90368,Prince of Peace Oolong tea Brewed For 1min,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G90369_1x_RG9_01_31127.mzXML,G90369,Prince of Peace Oolong tea Brewed For 30sec,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G90370_1x_BD3_01_31186.mzXML,G90370,Prince of Peace Oolong tea Brewed For 4hours,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G90371_1x_RG8_01_31126.mzXML,G90371,Prince of Peace Oolong tea Brewed For 4min,Organic Oolong Tea leaves,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95760_5x_BC5_01_32058.mzXML,G95760,NUMI White rose tea solid sample,fair trade organic White tea,organic rosebuds,not applicable,not applicable,not applicable,not applicable,not applicable
G95761_5x_BB6_01_32043.mzXML,G95761,NUMI White rose tea solid sample,fair trade organic White tea,organic rosebuds,not applicable,not applicable,not applicable,not applicable,not applicable
G95762_5x_BB11_01_32050.mzXML,G95762,NUMI White rose tea solid sample,fair trade organic White tea,organic rosebuds,not applicable,not applicable,not applicable,not applicable,not applicable
G95763_5x_BC2_01_32055.mzXML,G95763,ALLEGRO tropical White tea solid sample,organic White tea,natural passionfruit flavor,natural guava flavor,natural coconut flavor,not applicable,not applicable,not applicable
G95764_5x_BC8_01_32063.mzXML,G95764,ALLEGRO tropical White tea solid sample,organic White tea,natural passionfruit flavor,natural guava flavor,natural coconut flavor,not applicable,not applicable,not applicable
G95765_5x_BD3_01_32072.mzXML,G95765,ALLEGRO tropical White tea solid sample,organic White tea,natural passionfruit flavor,natural guava flavor,natural coconut flavor,not applicable,not applicable,not applicable
G95769_5x_BC12_01_32067.mzXML,G95769,Numi Emperor's pu-erh tea solid sample,Verified Fair Labor organic black pu'erh tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95770_5x_BB10_01_32049.mzXML,G95770,Numi Emperor's pu-erh tea solid sample,Verified Fair Labor organic black pu'erh tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95771_5x_BC7_01_32062.mzXML,G95771,Numi Emperor's pu-erh tea solid sample,Verified Fair Labor organic black pu'erh tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95772_5x_BB12_01_32051.mzXML,G95772,American Classic (Charleston Tea Plantation) Black Tea solid sample,South Carolina grown black tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95773_5x_BB5_01_32042.mzXML,G95773,American Classic (Charleston Tea Plantation) Black Tea solid sample,South Carolina grown black tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95774_5x_BB4_01_32041.mzXML,G95774,American Classic (Charleston Tea Plantation) Black Tea solid sample,South Carolina grown black tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95775_5x_BB8_01_32047.mzXML,G95775,ALLEGRO aged Pu'er tea solid sample,Organic Pu'er tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95776_5x_BC4_01_32057.mzXML,G95776,ALLEGRO aged Pu'er tea solid sample,Organic Pu'er tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95777_5x_BA3_01_32026.mzXML,G95777,ALLEGRO aged Pu'er tea solid sample,Organic Pu'er tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95778_5x_BB9_01_32048.mzXML,G95778,Allegro Oolong Tea solid sample,Organic chinese oolong tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95779_5x_BA12_01_32035.mzXML,G95779,Allegro Oolong Tea solid sample,Organic chinese oolong tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95780_5x_BA11_01_32034.mzXML,G95780,Allegro Oolong Tea solid sample,Organic chinese oolong tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95781_5x_BC11_01_32066.mzXML,G95781,Charleston Tea Plantation Green Tea solid sample,South Carolina grown green tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95782_5x_BC10_01_32065.mzXML,G95782,Charleston Tea Plantation Green Tea solid sample,South Carolina grown green tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95783_5x_BA9_01_32032.mzXML,G95783,Charleston Tea Plantation Green Tea solid sample,South Carolina grown green tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95784_5x_BD2_01_32071.mzXML,G95784,Higgins & Burke english breakfast tea solid sample,Premium black tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95785_5x_BB3_01_32040.mzXML,G95785,Higgins & Burke english breakfast tea solid sample,Premium black tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95786_5x_BC6_01_32059.mzXML,G95786,Higgins & Burke english breakfast tea solid sample,Premium black tea,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95787_5x_BD4_01_32073.mzXML,G95787,Lipton Matcha tea solid sample,green tea,matcha,not applicable,not applicable,not applicable,not applicable,not applicable
G95788_5x_BA5_01_32028.mzXML,G95788,Lipton Matcha tea solid sample,green tea,matcha,not applicable,not applicable,not applicable,not applicable,not applicable
G95789_5x_BA6_01_32029.mzXML,G95789,Lipton Matcha tea solid sample,green tea,matcha,not applicable,not applicable,not applicable,not applicable,not applicable
G95790_5x_BA10_01_32033.mzXML,G95790,Salada Matcha tea solid sample,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G95791_5x_BB2_01_32039.mzXML,G95791,Salada Matcha tea solid sample,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G95792_5x_BA7_01_32030.mzXML,G95792,Salada Matcha tea solid sample,sencha green tea,matcha green tea,not applicable,not applicable,not applicable,not applicable,not applicable
G95793_5x_BB7_01_32044.mzXML,G95793,Higgins & Burke Green vert tea solid sample,Premium sencha green tea,Lemongrass,Lemon Balm Herb,Verbena Leaves,not applicable,not applicable,not applicable
G95794_5x_BC9_01_32064.mzXML,G95794,Higgins & Burke Green vert tea solid sample,Premium sencha green tea,Lemongrass,Lemon Balm Herb,Verbena Leaves,not applicable,not applicable,not applicable
G95795_5x_BA8_01_32031.mzXML,G95795,Higgins & Burke Green vert tea solid sample,Premium sencha green tea,Lemongrass,Lemon Balm Herb,Verbena Leaves,not applicable,not applicable,not applicable
G95796_1x_BH5_01_32303.mzXML,G95796,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95797_1x_RD11_01_32127.mzXML,G96797,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95798_1x_BC6_01_32268.mzXML,G95798,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95799_1x_RF2_01_32145.mzXML,G95799,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95800_1x_RD3_01_32119.mzXML,G95800,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95801_1x_RE5_01_32134.mzXML,G95801,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95802_1x_RG4_01_32161.mzXML,G95802,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95803_1x_BF3_01_32286.mzXML,G95803,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95804_1x_BB4_01_32259.mzXML,G95804,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95805_1x_BG5_01_32295.mzXML,G95805,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95806_1x_RC8_01_32113.mzXML,G95806,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95807_1x_BH6_01_32304.mzXML,G95807,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95808_1x_RC6_01_32111.mzXML,G95808,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95809_1x_RH3_01_32174.mzXML,G95809,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95810_1x_RE10_01_32140.mzXML,G95810,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95811_1x_RD6_01_32122.mzXML,G95811,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95812_1x_BE4_01_32280.mzXML,G95812,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95813_1x_BB3_01_32258.mzXML,G95813,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95814_1x_RE4_01_32133.mzXML,G95814,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95815_1x_RF6_01_32149.mzXML,G95815,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95816_1x_BC4_01_32266.mzXML,G95816,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95817_1x_RC4_01_32103.mzXML,G95817,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95818_1x_RH10_01_32182.mzXML,G95818,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95819_1x_RD5_01_32121.mzXML,G95819,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95820_1x_RE12_01_32142.mzXML,G96820,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95821_1x_BD5_01_32274.mzXML,G95821,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95822_1x_BC2_01_32264.mzXML,G95822,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95823_1x_RH9_01_32181.mzXML,G95823,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95824_1x_BE5_01_32281.mzXML,G95824,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95825_1x_RG7_01_32165.mzXML,G95825,Farmer's Market Tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95826_1x_RD12_01_32128.mzXML,G95826,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95827_1x_RE6_01_32135.mzXML,G95827,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95828_1x_RB6_01_32091.mzXML,G95828,cherry tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95829_1x_BE3_01_32279.mzXML,G95829,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95830_1x_BE2_01_32278.mzXML,G95830,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95831_1x_BC5_01_32267.mzXML,G95831,Organic Day 0,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95832_1x_RH2_01_32173.mzXML,G95832,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95833_1x_BF6_01_32289.mzXML,G95833,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95834_1x_BD6_01_32275.mzXML,G95834,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95835_1x_BH3_01_32301.mzXML,G95835,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95836_1x_RH6_01_32177.mzXML,G95836,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95837_1x_RE2_01_32131.mzXML,G95837,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95838_1x_RC7_01_32112.mzXML,G95838,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95839_1x_RB11_01_32097.mzXML,G95839,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95840_1x_BG4_01_32294.mzXML,G95840,canned tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95841_1x_RH8_01_32180.mzXML,G95841,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95842_1x_RE11_01_32141.mzXML,G95842,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95843_1x_RH4_01_32175.mzXML,G95843,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95844_1x_BF4_01_32287.mzXML,G95844,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95845_1x_BA5_01_32253.mzXML,G95845,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95846_1x_BF5_01_32288.mzXML,G95846,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95847_1x_RF8_01_32152.mzXML,G95847,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95848_1x_RH7_01_32179.mzXML,G95848,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95849_1x_RB9_01_32095.mzXML,G95849,sundried tomato,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95850_1x_RH5_01_32176.mzXML,G95850,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95851_1x_RH11_01_32183.mzXML,G95851,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95852_1x_RF5_01_32148.mzXML,G95852,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95853_1x_RA12_01_32085.mzXML,G95853,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95854_1x_RC9_01_32108.mzXML,G95854,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95855_1x_repeat_BA2_01_32298.mzXML,G95855,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95856_1x_BC3_01_32265.mzXML,G95856,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95857_1x_BD3_01_32272.mzXML,G95857,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
G95858_1x_RF4_01_32147.mzXML,G95858,WholeFoods_Unknown_Organic,tomato,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
