filename,sample_name,description,ingredients_1,ingredients_2,ingredients_3,ingredients_4,ingredients_5,ingredients_6,ingredients_7
74057_1x_BE2_01_20750.mzXML,11442.G74057,beet kvass,organic beets,Carlsbad alkaline well water,french grey sea salt,not applicable,not applicable,not applicable,not applicable
74058_1x_BF2_01_21383.mzXML,11442.G74058,california kimchi brine,napa cabbage,daikon ,radish,scallion,garlic ,ginger,french grey sea salt;korean pepper;cayenne pepper
74059_1x_BG2_01_20767.mzXML,11442.G74059,silly dilly kraut brine,green cabbage,cucumber,garlic,dill,french grey sea salt,not applicable,not applicable
74060_1x_BH7_01_20781.mzXML,11442.G74060,Maeil dairy drink,water,fructose corn yrup,sugar,skim milk powder,glucose,yogurt flavor,sucralose
74061_1x_BF7_01_20764.mzXML,11442.G74061,Unoaked sake,rice,koji,yeast,brown rice sugar,not applicable,not applicable,not applicable
74062_1x_BE7_01_20755.mzXML,11442.G74062,Oaked sake,rice,koji,yeast,brown rice sugar,charred oak chips,not applicable,not applicable
74089_1x_rerun_BB7_01_21459.mzXML,11442.G74089,"AA Kenyan coffee, pour-over",coffee beans,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
74090_1x_rerun_BA7_01_21395.mzXML,11442.G74090,"Copper Moon Kenyan coffee, pour-over",coffee beans,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
74091_1x_BG7_01_20773.mzXML,11442.G74091,"Brazilian coffee, pour-over",coffee beans,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
74092_1x_12ul_rerun_BB2_01_21453.mzXML,11442.G74092,Passion fruit kombucha,tea,water,sugar,passion fruit,scoby,not applicable,not applicable
74093_1x_BC2_01_20734.mzXML,11442.G74093,apple kombucha (?),tea,water,sugar,apple,scoby,not applicable,not applicable
74119_1x_12ul_rerun_BB3_01_21454.mzXML,11442.G74119,green tea with sugar,Teatulia black tea,Tazo china green tips,water,granulated cane sugar,(both teas or only one?),not applicable,not applicable
74125_1x_12ul_rerun_BA2_01_21387.mzXML,11442.G74125,fig kombucha,black tea,green tea,water,sugar,homegrown fig,scoby,not applicable
75069_5x_RG10_01_17491.mzXML,11442.G75069,cilantro,cilantro,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75070_1x_BC10_01_17419.mzXML,11442.G75070,sweet corn,sweet corn,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75071_1x_BD10_01_17477.mzXML,11442.G75071,green seedless grapes,grape,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75072_1x_BE9_01_17449.mzXML,11442.G75072,orchard view cherry,cherry,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75077_5x_RC11_01_17425.mzXML,11442.G75077,blueberry,blueberry,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75083_5x_RE3_01_17443.mzXML,11442.G75083,peas,peas,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75084_1x_BD3_01_17475.mzXML,11442.G75084,corn,corn,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75085_1x_BF3_01_17456.mzXML,11442.G75085,"carrot, raw",carrot,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75086_1x_BH3_01_17497.mzXML,11442.G75086,"mushroom, raw",white mushrooms,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75089_1x_BF10_01_17482.mzXML,11442.G75089,carrot,carrot,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75092_1x_BH10_01_17514.mzXML,11442.G75092,cauliflower,cauliflower,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75093_1x_BE10_01_17450.mzXML,11442.G75093,baby arugula,arugula,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
75153_1x_BC7_01_17416.mzXML,11442.G75153,mushroom; cooked with other ingredients,white mushrooms,not applicable,not applicable,not applicable,not applicable,not applicable,not applicable
